what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1413028534647
started,bundle,org.eclipse.mylyn.context.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.core",1413028534647
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.tasks.ui",1413028534647
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.monitor.ui",1413028534647
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1413028534647
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1413028534647
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1413028534647
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1413028534662
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1413028534662
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1413028534662
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1413028534662
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1413028534662
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1413028534678
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1413028534678
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1413028534678
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1413028534678
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1413028534678
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1413028534678
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1413028534678
started,bundle,org.eclipse.wb.core,1.6.0.r37x201305211944,"org.eclipse.wb.core",1413028534678
started,bundle,org.eclipse.wb.core.java,1.6.0.r37x201305211947,"org.eclipse.wb.core.java",1413028534678
started,bundle,org.eclipse.wb.core.lib,1.6.0.r37x201305211944,"org.eclipse.wb.core.lib",1413028534678
started,bundle,org.eclipse.wst.internet.proxy,0.7.0,"org.eclipse.wst.internet.proxy",1413028534678
os,sysinfo,,,"win32",1413028534694
arch,sysinfo,,,"x86",1413028534694
ws,sysinfo,,,"win32",1413028534694
locale,sysinfo,,,"ko_KR",1413028534694
processors,sysinfo,,,"4",1413028534694
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413028534694
java.runtime.version,sysinfo,,,"1.7.0_10-b18",1413028534694
java.specification.name,sysinfo,,,"Java Platform API Specification",1413028534694
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413028534694
java.specification.version,sysinfo,,,"1.7",1413028534694
java.vendor,sysinfo,,,"Oracle Corporation",1413028534694
java.version,sysinfo,,,"1.7.0_10",1413028534694
java.vm.info,sysinfo,,,"mixed mode",1413028534694
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1413028534694
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413028534694
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413028534694
java.vm.specification.version,sysinfo,,,"1.7",1413028534694
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413028534694
java.vm.version,sysinfo,,,"23.6-b04",1413028534694
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1413028534694
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1413028534725
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1413028535381
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1413028538381
error,log,,,"No repository found at http://download.eclipse.org/rt/rap/1.3/runtime.",1413028541866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413028547116
error,log,,,"No repository found at http://download.eclipse.org/modeling/mdt/papyrus/updates/milestones/0.8.",1413028547851
error,log,,,"HTTP Server 'Internal Error': http://dev.eclipse.org/svnroot/dsdp/org.eclipse.tm.tcf/releases/0.4.0/content.xml",1413028552163
error,log,,,"No repository found at http://www.eclipse.org/modeling/mdt/?project=papyrus#papyrus.",1413028555367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413028570164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1413028570180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413028577118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413028588572
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413028588993
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413028589134
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1413028589134
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1413028589431
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1413028589431
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1413028589431
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1413028589431
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1413028589431
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1413028589431
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1413028589431
